书名,Book Title,Author,Publication Date,Copyright Open Year,Last Modified
尚书,The Shoo King or the Book of Historical Documents,-,-,1949,2022/10/9
诗经,The Canon of Poetry,unkown,7th century BC,1949,2022/10/9
红楼梦,The Dream of the Red Chamber,曹雪芹、高鶚, 18th century,1949,2022/10/9
曾国藩家书,Zeng Guo Fan Jia Shu,曾国藩,19th century,1949,2022/10/9
隋唐演义,Heroes in Sui and Tang Dynasties,褚人穫,1695,1949,2022/10/9
韩非子,Hanfeizi,韩非,3th century BC,1949,2022/10/9
盐铁论,DISCOURSES ON SALT AND IRON,桓寬,1th century BC,1949,2022/10/9
南方草木状,NanFangCaoMuZhuang,嵇含,3th-5th century,1949,2022/10/9
论语,The Analects of Confucius,孔子,5th century BC,1949,2022/10/9
骆驼祥子,TeaHouse & Camel Xiangzi,老舍,1937,2016,2022/10/9
道德经,The Tao-te Ching,老子,-,1949,2022/10/9
太平广记,Taiping guangji,李昉、扈蒙、李穆、徐铉、赵邻几、王克贞、宋白、吕文仲,978 AD,1949,2022/10/9
本草纲目,Herbal Foundation Compendium,李时珍,1596 AD ,1949,2022/10/9
淮南子,Huainanzi,劉安,2th century BC,1949,2022/10/9
战国策,Stratagems of the Warring States,劉向,-,1949,2022/10/9
庐隐文集,Anthology of Lu Yin,庐隐,1998,1984,2022/10/9
呐喊,Call to Arms,鲁迅,1923,1949,2022/10/9
三国演义,Romance of Three Kingdoms,罗贯中,14th century,1949,2022/10/9
吕氏春秋,The Annals of Lu Buwei,呂不韋,239 BC,1949,2022/10/9
墨子,Mozi,墨翟,5th century BC,1949,2022/10/9
梦溪笔谈,The Dream Pool Essays,沈括,11th century,1949,2022/10/9
水浒传,All Men Are Brothers,施耐庵,14th century,1949,2022/10/9
史记,The Records of the Grand Historian,司马迁,90's BC,1949,2022/10/9
资治通鉴,History as a Mirror,司馬光,1084 AD,1949,2022/10/9
天工开物,Tian Gong Kai Wu,宋應星,1637 AD,1949,2022/10/9
孙子兵法,The Art of War,孙武,515 BC-512 BC,1949,2022/10/9
皇华纪闻,Huang Hua Ji Wen,王士祯,~17th century,1949,2022/10/9
儒林外史,The Scholars,吴敬梓,16th century,1949,2022/10/9
西游记,Journey to the West,吳承恩,1592 AD,1949,2022/10/9
回忆鲁迅先生,Memory of Lu Xun,萧红,1939,1992,2022/10/9
昭明文选,Literary Anthology by Prince Chao Ming,萧统、张缵、张率、张缅、刘孝绰、到洽、陆倕、王筠、王锡、谢举、王规,6th century,1949,2022/10/9
封神演义,Investiture of the Gods,许仲琳,16th century,1949,2022/10/9
雷峰塔奇传,Lei Feng Ta Qi Chuan,玉花堂主人,1806,1949,2022/10/9
庄子,The Book of Chuang Tzu,庄子,4th century BC,1949,2022/10/9
春秋左传,Chun Qiu Zuo Zhuan,左丘明,468 BC-300 BC,1949,2022/10/9
千金谱,Qianjin spectrum,陳海三,1984,2003,2022/10/10
琴笺,Qinjian,崔遵度,~10th century,1949,2022/10/10
在潮神庙,At Tide Temple,彭家煌,1933,1983,2022/10/12
喜讯,Good News,彭家煌,1934,1983,2022/10/12
山雨,Shanyu,王统照,1933,2007,2022/10/13
北国之春,Spring comes to the north,王统照,1933,2007,2022/10/13
茶馆,The Teahouse,老舍,1957,2016,2022/10/17
四世同堂,The Yellow Storm,老舍,1944,2016,2022/10/17
现代日本小说集,Collection of Modern Japanese Novels,周作人,1923,2017,2022/10/18
鲁迅的青年时代,Lu Xun's youth,周作人,-,2017,2022/10/18
柳如是别传,Liu Ru Shi Bie Zhuan,陈寅恪,1980,2019,2022/10/19
陶渊明之思想与清谈之关系,The Relationship between Tao Yuanming's Thought and Clear Talk,陈寅恪,1945,2019,2022/10/19
彷徨,Wandering,鲁迅,1926,1986,2022/10/24
中国小说史略,A brief history of Chinese fiction,鲁迅,1924,1986,2022/10/24
新中国未来记,Xin Zhongguo weilai ji,梁启超,1902,1979,2022/10/25
少年中国说,On the Young China,梁启超,1900,1979,2022/10/25
春花,Spring Flowers,王统照,1936,2007,2022/10/26
繁辞集,Fanciji,王统照,1939,2007,2022/10/26
文学概说,Literature overview,郁达夫,1930,1995,2022/11/3
小说论,A Study of Fiction,郁达夫,1926,1995,2022/11/3
传家宝,Family Heirloom,赵树理,1949,2020,2022/11/7
邪不压正,Xiebuyazheng,赵树理,1948,2020,2022/11/7
末日的受审判者,Doomsday judge,张资平,20th century,2009,2022/11/8
她怅望着祖国的天野,She looked at Amano of the motherland,张资平,1921,2009,2022/11/8
石头记索隐,The Story of the Stone Suoyin,蔡元培,1916,1990,2022/11/9
中国人的修养,Chinese People's Xiuyang,蔡元培,~20th century,1990,2022/11/9
在寒风里,In the cold wind,郁达夫,1929,1995,2022/11/10
闲书,Free Book,郁达夫,1936,1995,2022/11/10
落花生,peanuts,许地山,1922,1991,2022/11/14
空山灵雨,Raining in the Mountain,许地山,1925,1991,2022/11/14
猛虎集,Tiger,徐志摩,1931,1981,2022/11/15
自剖,zipou,徐志摩,1928,1981,2022/11/15
雨天的书,Rainy day book,周作人,1925,2017,2022/11/16
自己的园地,Garden,周作人,1923,2017,2022/11/16
春,Spring,朱自清,1933,1998,2022/11/17
语文零拾,Yuwen lingshi,朱自清,1948,1998,2022/11/17
一寸相思一寸灰,Every bit of affection sent off will surely come back in ruin,石评梅,~20th century,1978,2022/11/22
偶然草,Ouran cao,石评梅,1929,1978,2022/11/22
冲出云围的月亮,moon out of the clouds,蒋光慈,1930,1981,2022/11/24
少年漂泊者,The Young Wanderer,蒋光慈,1926,1981,2022/11/24
大波,big wave,李劼人,1937,2012,2022/11/28
死水微澜,Ripples across stagnant water,李劼人,1936,2012,2022/11/28
西滢闲话,Xiying xianhua,陈西滢,1927,2020,2022/11/29
死水,Still water,闻一多,1928,1996,2022/11/29
公墓,cemetery,穆时英,1933,1990,2022/11/30
五月,May,穆时英,~1930,1990,2022/11/30
莫须有先生传,Biography of Mr. Unreasonable,废名,1932,2017,2022/12/5
桥,Bridge,废名,1932,2017,2022/12/5
我的记忆,My Memory,戴望舒,1927,2000,2022/12/6
望舒草,Wangshu Cao,戴望舒,1933,2000,2022/12/6
厚黑学,Thick Black Theory,李宗吾,1912,1993,2022/12/15
中国学术之趋势,Trends in Chinese Studies,李宗吾,1936,1993,2022/12/15
落霞孤鹜,sunset,张恨水,1931,2017,2022/12/21
水浒新传,111 men are brothers,张恨水,1943,2017,2022/12/21
火神庙的和尚,monk at fire temple,废名,~20th century,2017,2022/12/27
桃园,Taoyuan,废名,1928,2017,2022/12/27
牛马走,cows and horses go,张恨水,1944,2017,2022/12/29
赵玉玲本纪,Zhao Yuling's Chronicle,张恨水,1942,2017,2022/12/29
傅雷家书,Fu Lei's family letter,傅雷,1981,2016,2023/1/3
风雪之夜,snowy night,张恨水,~20th century,2017,2023/1/3
满城风雨,The city is full of wind and rain,张恨水,~20s,2017,2023/1/5
菊芬,Jufen,蒋光慈,1928,1981,2023/1/9
鸭绿江上,On the Yalu River,蒋光慈,1927,1981,2023/1/9
玉梨魂,Yulihun,徐枕亚,1913,1987,2023/1/16
花月尺牍,Huayue Ruler,徐枕亚,~20s,1987,2023/1/16
柳叶桃,Willow peach,李广田,1936,2018,2023/1/18
到桔子林去,To the orange grove,李广田,1941,2018,2023/1/18
前线,Battlefront,洪灵菲,1928,1984,2023/1/27
反三国演义,Anti Romance of the Three Kingdoms,周大荒,1930,2001,2023/1/27
朝花夕拾,Dawn Blossoms Plucked at Dusk,鲁迅,1928,1986,2023/1/28
且介亭杂文,Qiejieting Essays,鲁迅,1937,1986,2023/1/28
猫城记,City of cats,老舍,1933,2016,2023/1/29
铁鱼的鳃,Gills of iron fish,许地山,~20s,1991,2023/1/29
龙井访茶记,Longjing tea visit,程淯,1911,1990,2023/1/30
穆时英作品集,Mu Shiying's Works Collection,穆时英,1933,1990,2023/1/30
小二黑结婚,Xiao Erhei gets married,赵树理,1945,2020,2023/1/31
李家庄的变迁,Changes in Li Village,赵树理,1946,2020,2023/1/31
沉沦,Sinking,郁达夫,1921,1995,2023/2/1
春风沉醉的晚上,Spring Night,郁达夫,1924,1995,2023/2/1
文艺论ABC,Literary Theory - ABC,夏丏尊,1928,1996,2023/2/2
